No,Urls,Video Name,View,Like,Comm,published_date,duration,minute,type,Engagement Rate,AVG View Duration,Views to Likes Ratio
1,https://www.youtube.com/watch?v=nmPE1z6b19U,เราต้องห่างกันซักพัก |【 Enshrouded 】EP.5 (จบ พักเบรค),104,16,0,2026-06-13,2:22:17,142.28,เล่นเกม,0.1538461538,0.04,6.5
2,https://www.youtube.com/watch?v=3tmeY_agjg8,วันแก้แค้น เจ้าแย้บิน |【 Enshrouded 】EP.4,127,16,1,2026-06-07,1:43:54,103.90,เล่นเกม,0.1338582677,0.03,7.9375
3,https://www.youtube.com/watch?v=hEngOT7hed4,ไลฟ์บ่าย ในรอบ ศตวรรษ ..,212,36,0,2026-06-03,1:05:08,65.13,ฟรีทอร์ก,0.1698113208,0.02,5.888888889
4,https://www.youtube.com/watch?v=QyXc4mbvhwM,ผู้พิทักษ์ แห่งต้นไม้ |【 Ai Limit 】(EP.6),96,16,0,2026-05-30,2:28:44,148.73,เล่นเกม,0.1666666667,0.05,6
5,https://www.youtube.com/watch?v=SWkiarMTEG0,เล่าเรื่องชีวิต.. เพลินๆ,143,17,0,2026-05-30,1:08:23,68.38,ฟรีทอร์ก,0.1188811189,0.02,8.411764706
6,https://www.youtube.com/watch?v=G9vmlBWhMJI,นักล่าโครตมังกร |【 Enshrouded 】EP.3,122,18,1,2026-05-23,2:35:10,155.17,เล่นเกม,0.1557377049,0.05,6.777777778
7,https://www.youtube.com/watch?v=h7Et445CVEc,คุยอะไร ไม่รู้ .. รู้ แต่ไม่รู้,288,22,0,2026-05-23,1:16:50,76.83,ฟรีทอร์ก,0.07638888889,0.02,13.09090909
8,https://www.youtube.com/watch?v=ZIhtT6t5GZk,ก็มาดิ เจ๊แดงแรงฤทธิ์ |【 Ai Limit 】(EP.5),719,27,0,2026-05-18,3:31:52,211.87,เล่นเกม,0.03755215577,0.07,26.62962963
9,https://www.youtube.com/watch?v=fRmKX71SjeE,ใคร ที่ยืนข้างเตียง |【 เล่าเรื่องผี EP.28 】ประสบการณ์ที่น่ากลัวอันดับ 1 ในชีวิตของมารีน,218,20,1,2026-05-18,1:09:52,69.87,เล่าเรื่องผี,0.09633027523,0.02,10.9
10,https://www.youtube.com/watch?v=xSbtpxEL9_0,มินีมารีน ถาม - ตอบ สารพัด,148,24,1,2026-05-09,1:08:17,68.28,ฟรีทอร์ก,0.1689189189,0.02,6.166666667
11,https://www.youtube.com/watch?v=D19LhRUA0a0,ชายผู้แบกโล่ มาถูกกระทืบ |【 DOOM : Eternal 】(EP.4),92,14,0,2026-05-07,1:42:36,102.60,เล่นเกม,0.152173913,0.03,6.571428571
12,https://www.youtube.com/watch?v=bjVXkg70sVE,วิถีของนักผจญภัย |【 Enshrouded 】EP.2,148,19,0,2026-05-04,2:57:50,177.83,เล่นเกม,0.1283783784,0.06,7.789473684
13,https://www.youtube.com/watch?v=C-az0O9i-PQ,ช่ำระดับนี้ พี่ขอบาย |【 Ai Limit 】(EP.4),133,25,0,2026-05-02,3:38:00,218.00,เล่นเกม,0.1879699248,0.07,5.32
14,https://www.youtube.com/watch?v=iVAvLaHr4yE,คุย เรื่องเนื้อเพลง,70,16,0,2026-05-02,1:02:59,62.98,ฟรีทอร์ก,0.2285714286,0.02,4.375
15,https://www.youtube.com/watch?v=VweVeHSg-Jg,MYSTERY LIVE EP.3,114,19,1,2026-04-22,1:12:36,72.60,เล่าเรื่องผี,0.1754385965,0.02,6
16,https://www.youtube.com/watch?v=UXVxSuFIbyA,จุดเริ่มต้น นักไถฟาร์ม  |【 Enshrouded 】EP.1,406,34,0,2026-04-20,3:08:29,188.48,เล่นเกม,0.08374384236,0.06,11.94117647
17,https://www.youtube.com/watch?v=qoY59hu8Wy4,เคียวนี้ ขอข้าเถิด |【 Ai Limit 】(EP.3),110,20,0,2026-04-18,2:22:29,142.48,เล่นเกม,0.1818181818,0.04,5.5
18,https://www.youtube.com/watch?v=ygpsYtVPI38,หัวข้อ ที่ไม่มีหัวข้อ,91,13,1,2026-04-18,1:10:18,70.30,ฟรีทอร์ก,0.1538461538,0.02,7
19,https://www.youtube.com/watch?v=Bhz82B6thNo,เพื่อนรัก เพื่อนตาย |【 DOOM : Eternal 】(EP.3),242,29,0,2026-04-15,2:24:14,144.23,เล่นเกม,0.1198347107,0.05,8.344827586
20,https://www.youtube.com/watch?v=Bw1UUDmD1kk,หน้าร้อน ร้อนไหมล่ะ,122,26,0,2026-04-13,2:03:40,123.67,ฟรีทอร์ก,0.2131147541,0.04,4.692307692
21,https://www.youtube.com/watch?v=DPuce0Zg6iI,โอ้ว..แม่ ชีวภาพ |【 Ai Limit 】(EP.2),92,25,0,2026-04-11,2:40:35,160.58,เล่นเกม,0.2717391304,0.05,3.68
22,https://www.youtube.com/watch?v=fQBbwruclyE,กระจกปริศนา ในโรงแรม |【 เล่าเรื่องผี EP.27 】,80,19,1,2026-04-11,1:31:15,91.25,เล่าเรื่องผี,0.25,0.03,4.210526316
23,https://www.youtube.com/watch?v=vxT-T4e4f_k,อย่าไปสน อย่าไป Sad |【 DOOM : Eternal 】(EP.2),135,27,1,2026-04-06,2:16:31,136.52,เล่นเกม,0.2074074074,0.04,5
24,https://www.youtube.com/watch?v=AY9nkZBHNUg,สุดขีด เอไอ |【 Ai Limit 】(EP.1),104,24,1,2026-04-04,2:10:34,130.57,เล่นเกม,0.2403846154,0.04,4.333333333
25,https://www.youtube.com/watch?v=6ExE8pfFI6Q,เตรียมตัว Original Song ต่อไป,77,19,0,2026-04-04,1:18:01,78.02,ร้องเพลง,0.2467532468,0.02,4.052631579
26,https://www.youtube.com/watch?v=ZgsYBMekEcs,นาที ที่โลกหยุดหมุน ( Frozen in time ) - Marine Chariot | Original Song Valentine 2026,414,38,11,2026-04-01,0:04:15,4.25,ร้องเพลง,0.1183574879,0,10.89473684
27,https://www.youtube.com/watch?v=AymOSCA-Xqs,นาที ที่โลกหยุดหมุน - Marine Chariot (Official Teaser) | Original Song Valentine 2026,198,21,4,2026-03-31,0:00:41,0.68,ร้องเพลง,0.1262626263,0,9.428571429
28,https://www.youtube.com/watch?v=gIkun-lRgfs,เจตจำนงค์แห่งผีเสื้อ |【Wildhearts】(EP.5) จบ,114,21,2,2026-03-29,3:00:51,180.85,เล่นเกม,0.201754386,0.06,5.428571429
29,https://www.youtube.com/watch?v=SOIdrngevwk,สิ้นสุดโลกเน่าเปื่อย  |【 State of decay 2 】EP.4 (จบ),133,21,0,2026-03-28,1:39:47,99.78,เล่นเกม,0.1578947368,0.03,6.333333333
30,https://www.youtube.com/watch?v=v6hFfX3oc08,อยากเล่นเกม แต่ไหวแค่คุย,182,23,0,2026-03-16,0:32:24,32.40,ฟรีทอร์ก,0.1263736264,0.01,7.913043478
31,https://www.youtube.com/watch?v=xpTg11oIGhU,มาคุยกันให้หายคิดถึง | Freetalk,152,27,1,2026-03-07,1:04:31,64.52,ฟรีทอร์ก,0.1842105263,0.02,5.62962963
32,https://www.youtube.com/watch?v=v7U_-MIlTk4,นิยาม .. ของคำว่า คุณภาพ,150,25,2,2026-02-14,1:19:54,79.90,ฟรีทอร์ก,0.18,0.02,6
33,https://www.youtube.com/watch?v=Sv3j7ehoY4k,ตรอกทางเดินเก่า ๆ |【 เล่าเรื่องผี EP.26 】,101,20,2,2026-02-07,1:15:21,75.35,เล่าเรื่องผี,0.2178217822,0.02,5.05
